DATA
PyCharm
Debugger
Phalcon
Laravel
CodeIgniter
Vue.js
Elixir
Kickstart
Play
HTML
Boostrap
Struts
DropWizard
back-end
CubicWeb
CreateJS
Python
Zend
Chart.js
Grails
Montage
JSF
Ruby
Bootstrap
PHP
Java
Giotto
front-end
Express.js
PHPixie
web
Django
Vaadin
HTML5
Ember.js
GWT
Skeleton
Web2Py
Pylons
JQuery
Pyramid
Boilerplate
FuelPHP
Yii
React
Backbone.js
CSS
MySQL
Zebra
Flask
SQL
Angular
D3.js
Symfony
Spring
Slim
JavaScript
CSS3
Hibernate
TurboGears
Blade
CakePHP
Web
Foundation
R Lang
React JS
Front-End
Machine
learn 
Prediction 
Dedicated
Communication
Logical 
Decision 
Solving
Time 
Troubleshooting
Coordinating
Scheduling
Analytical
Application
UNIX 
Unix
Administration
TeamManagement
Performance
Production
Microsoft
Oracle
Monitoring
IoT
ETL
Extract
Firebase
XML 
Personality
Motivation
Analysis
Procurement
Design
Software
ProjectManagement
ProjectDirector
BusinessDevelopmentExecutive
ExecutiveEngineer
Hiring
Recruitment
HyperMesh
Marketing
Meshing
Google
ANSYS
Accounting
Presentations
CreditReports
ClientFacing
FinancialManagement
FCAPS
FinancialModeling
FitnessTesting
Teamwork
PowerPoint
Excel
Organized
Blockchain
Cryptocurrency
DatabaseManagementSystems
